Izborna jedinica;Država;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  BORIS KINDIJ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILE CIGIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  dr.sc. MLADEN ZELJKO;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI RAST - HRAST  , Nositelj liste:  PETAR GALIÆ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA , HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  MARJAN BOŠNJAK;LISTA ZA RIJEKU - LISTA-RI , AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DENIS PEŠUT  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  LEO PLOÈKINIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing. grad.  
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
XI. IZBORNA JEDINICA;DIJASPORA U RH;1;0;14;14;14;0;0;0;0;1;5;0;0;0;0;1;0;0;0;0;7
XI. IZBORNA JEDINICA;DIJASPORA U RH;2;0;2;2;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
XI. IZBORNA JEDINICA;DIJASPORA U RH;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;DIJASPORA U RH;4;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
XI. IZBORNA JEDINICA;DIJASPORA U RH;5;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;DIJASPORA U RH;6;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;DIJASPORA U RH;7;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;DIJASPORA U RH;8;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;DIJASPORA U RH;9;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;DIJASPORA U RH;10;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;DIJASPORA U RH;11;0;5;5;5;0;0;0;0;2;2;0;0;0;1;0;0;0;0;0;0
XI. IZBORNA JEDINICA;DIJASPORA U RH;12;0;5;5;5;0;1;0;0;0;3;0;0;0;0;0;0;0;0;1;0
UKUPNO;;;0;36;34;33;1;1;0;0;3;14;0;1;2;1;1;0;0;0;1;9
